"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_25-39","por_25-39","vac_18-24","por_18-24","vac_16-17","por_16-17","tot_vac","pobl_tot","por_tot" 
"2021-06-15","Castilla y León",228249,100.0,248166,100.0,305492,95.9,316659,83.1,83503,23.0,49561,13.2,9772,6.8,127,0.3,1241529,2092873,59.3
"2021-06-15","Castilla la Mancha",137146,100.0,156848,98.6,208746,95.6,265848,86.5,147927,44.7,42944,11.4,8362,5.6,121,0.3,967942,1719964,56.3
"2021-06-15","Cataluña",454578,100.0,608263,95.7,727530,86.9,879875,80.6,485397,36.9,192105,12.9,53890,9.7,1076,0.7,3402714,6531658,52.1
"2021-06-15","C. Valenciana",294254,100.0,427731,97.7,529485,91.2,605757,80.5,189246,22.2,110347,12.1,22380,6.3,233,0.2,2179433,4269305,51.0
"2021-06-15","Extremadura",77964,100.0,95231,100.0,127978,100.0,150239,88.8,57467,36.0,23741,12.3,2983,3.9,77,0.4,535680,911213,58.8
"2021-06-15","Galicia",240582,100.0,288215,99.5,331496,95.6,368890,90.9,150510,34.0,50214,11.3,6844,4.5,53,0.1,1436804,2362643,60.8
"2021-06-15","La Rioja",23291,100.0,28437,100.0,36586,97.0,40891,85.8,13862,26.2,7634,14.0,1581,7.5,11,0.2,152293,270788,56.2
"2021-06-15","Madrid",370421,100.0,503550,95.7,673659,95.8,808948,83.2,246196,21.1,182271,13.5,35689,7.4,507,0.4,2821241,5695623,49.5
"2021-06-15","Murcia",73132,100.0,100421,97.6,132094,89.9,179069,84.0,109389,43.0,32941,11.1,7895,6.7,156,0.4,635097,1237479,51.3
"2021-06-15","Navarra",42350,100.0,55554,99.6,70241,95.1,88459,91.5,48179,44.6,16084,14.0,4000,8.2,15,0.1,324882,552935,58.8
"2021-06-15","País Vasco",161877,100.0,209865,98.5,271568,96.9,285905,84.1,81860,22.6,52816,14.6,13366,9.5,60,0.1,1077317,1898123,56.8
"2021-06-15","Ceuta",2359,90.6,3769,87.3,6993,89.0,9659,83.6,9008,71.3,3451,19.8,600,7.9,11,0.5,35850,66158,54.2
"2021-06-15","Melilla",1939,82.5,3153,84.1,6528,83.4,8538,75.6,8206,68.4,3121,17.2,332,3.9,7,0.3,31824,66178,48.1
"2021-06-15","España",2911525,100.0,3881485,98.0,4951450,92.8,5877572,83.6,2676432,33.9,1164109,13.2,247827,7.5,3440,0.4,21713840,40129822,54.1
"2021-06-16","Andalucía",430702,100.0,642424,98.8,857570,93.6,1096058,86.6,646393,46.7,205875,12.7,43521,7.0,636,0.3,3923179,7062213,55.6
"2021-06-16","Aragón",100601,100.0,117743,99.0,147423,94.3,167587,84.5,91886,42.7,34456,14.9,7783,8.7,79,0.3,667558,1132764,58.9
"2021-06-16","Asturias",88296,100.0,113106,100.0,140644,94.0,139413,85.7,85979,51.5,21326,13.7,4860,9.0,63,0.4,593687,901209,65.9
"2021-06-16","Baleares",50599,100.0,76986,95.6,98548,84.1,127140,76.7,101558,49.3,29263,11.3,4637,5.4,48,0.2,488779,986279,49.6
"2021-06-16","Canarias",91149,100.0,146931,95.1,206007,87.6,265531,75.8,162869,42.0,62356,14.0,8843,5.4,138,0.3,943824,1871033,50.4
"2021-06-16","Cantabria",42114,100.0,55498,100.0,72981,94.4,73768,82.0,31588,32.3,12954,13.4,1913,5.5,24,0.2,290840,501384,58.0
