"fecha","Comunidad","vac_80+","pobl_80+","por_80+","vac_70-79","pobl_70-79","por_70-79","vac_60-69","pobl_60-69","por_60-69","vac_50-59","pobl_50-59","por_50-59","vac_25-49","pobl_25-49","por_25-49","vac_18-24","pobl_18-24","por_18-24","vac_16-17","pobl_16-17","por_16-17","tot_vac","pobl_tot","por_tot"
"2021-04-06","Navarra",37758,41166,91.7,2623,55792,4.7,8577,73844,11.6,13152,96694,13.6,25676,223028,11.5,3235,48505,6.7,4,13906,0.0,91025,552935,16.5
"2021-04-06","País Vasco",102963,157950,65.2,4435,213081,2.1,73525,280119,26.2,46659,339977,13.7,86875,724849,12.0,10969,140323,7.8,6,41824,0.0,325432,1898123,17.1
"2021-04-06","Ceuta",2073,2605,79.6,1155,4318,26.7,1554,7857,19.8,1676,11556,14.5,3447,30066,11.5,273,7581,3.6,0,2175,0.0,10178,66158,15.4
"2021-04-06","Melilla",1552,2349,66.1,1791,3748,47.8,835,7827,10.7,1501,11299,13.3,3218,30095,10.7,190,8536,2.2,6,2324,0.3,9093,66178,13.7
"2021-04-06","España",2276259,2834024,80.3,216569,3960045,5.5,836230,5336986,15.7,833818,7033306,11.9,1790549,16706113,10.7,164159,3310299,5.0,1126,949049,0.1,6118710,40129822,15.2
"2021-04-07","Andalucía",402738,413516,97.4,77477,650381,11.9,124728,916147,13.6,139311,1265021,11.0,322353,3009381,10.7,26732,625846,4.3,184,181921,0.1,1093523,7062213,15.5
"2021-04-07","Aragón",78591,98807,79.5,3925,118955,3.3,16047,156367,10.3,25391,198266,12.8,49029,446083,11.0,5657,89180,6.3,28,25106,0.1,178668,1132764,15.8
"2021-04-07","Asturias",80958,87826,92.2,5634,109249,5.2,29865,149652,20.0,20342,162645,12.5,29999,322095,9.3,2892,54179,5.3,30,15563,0.2,169720,901209,18.8
"2021-04-07","Baleares",41057,49542,82.9,2975,80516,3.7,20630,117231,17.6,20216,165797,12.2,42003,464054,9.1,3585,85839,4.2,33,23300,0.1,130499,986279,13.2
"2021-04-07","Canarias",63607,90236,70.5,19237,154531,12.4,49212,235092,20.9,27038,350512,7.7,64318,832411,7.7,5637,163899,3.4,34,44352,0.1,229083,1871033,12.2
"2021-04-07","Cantabria",36695,41042,89.4,4896,53066,9.2,5726,77345,7.4,11080,89964,12.3,22376,194241,11.5,1551,34935,4.4,5,10791,0.0,82329,501384,16.4
"2021-04-07","Castilla y Leon",180713,223657,80.8,19814,245410,8.1,45978,318575,14.4,52188,381175,13.7,84275,738950,11.4,7233,144422,5.0,91,40684,0.2,390292,2092873,18.6
